name,price
Wife dongol,৳ 450
Hp pavilion 14 i5 11 gen 512 ssd _8 GB  RAM,"৳ 60,390"
Laptop WPRX4N50GR Intel Quad Core 14 inch - Grey (N5001),"৳ 25,000"
2GB Wifp Dongol,৳ 498
Chuwi HeroBook Pro + Intel Quad Core 8GB RAM 128GB Storage 13.3 inch Laptop-Grey,"৳ 26,250"
Walton Laptop Tamarind ZX3701A 7th Gen Intel Core i3-7020U 2.30GHz,"৳ 32,580"
Walton Prelude N5000B Laptop Intel Quad Core 1.10GHz Processor 8GB DDR4 RAM 256GB,"৳ 26,500"
Walton Prelude N5000 Laptop - Quad Core 1.10GHz Processor - 4GB DDR4 RAM - 1 TB HDD - 14.0 High Definition (HD) LED Panel - Black,"৳ 25,000"
Walton Prelude N5001A Laptop Intel Quad Core 1.10GHz Processor 4GB DDR4 RAM 256GB SATAIII M.2 2280 SSD 14 inch HD Display,"৳ 25,000"
"Walton TAMARIND ZX3701, Intel Core i3-7020U 2.30GHz, 4GB DDR4 RAM, 1 TB HDD, 14 inch HD Display Laptop","৳ 31,000"
Un-Stitched Batik PrintUn-Stitched Batik Print cotton Salwar Kameez 3 pcs For Women cotton Salwar Kameez 3 pcs For Women,৳ 555
"Lenovo IdeaPad Slim 3i 15IIL 10th Gen Intel Core i3 1005G1 (1.20GHz-3.40GHz, 4GB DDR4, 1TB HDD, No-ODD) 15.6 Inch FHD (1920x1080) Display, Win 10, Platinum Grey Notebook 81WE005HIN-2Y","৳ 45,900"
"MSI Modern 14 B5M Ryzen 5 5500U 5th Gen, 8GB, 256GB SSD.","৳ 63,014"
"Walton Laptop Tamarind ZX3700A, 7th Gen Intel Core i3-7020U 2.30GHz, 512GB SATAIII M.2 2280 SSD , 4GB DDR4 RAM, 14 inch HD Display.","৳ 32,000"
Electric water Heather jug 2litter,৳ 199
Lenovo IdeaPad Slim 3i 15IIL 10th Gen Intel Core i5 1035G1 15.6 Inch Grey Laptop,"৳ 62,990"
Walton Prelude N5000A Laptop Intel Quad Core 1.10GHz Processor 4GB DDR4 RAM 256GB SATAIII M.2 2280 SSD 14 inch HD Display,"৳ 25,000"
Asus VivoBook 14 X415EA Intel Core i5 1135G7 14 Inch FHD Display Laptop,"৳ 61,380"
Lenovo IdeaPad Slim 3i 15ITL Intel Core i3 1005G1 15.6 Inch FHD Display Business Black Laptop,"৳ 45,900"
HP EliteBook 840 G3 Core i5 8GB RAM,"৳ 35,999"
"Chuwi HeroBook Pro + Intel Quad Core, 8GB RAM, 256GB Storage, 13.3 inch Laptop-Grey","৳ 28,250"
Acer Aspire 3 A315-23-R9NG AMD Ryzen 3 3250U 15.6 Inch FHD Display Pure Silver Laptop NX.HVUSI.009,"৳ 39,900"
Hp pavilion 14-core i7 11 gen 512 GB SSD-8 GB DDR4 Ram _14.1inch FHD Display,"৳ 85,000"
"DGEL NoteBook Intel Quad Core, 8GB RAM, 256GB SSD, 14 inch Laptop - Silver","৳ 17,999"
Dell Vostro 14 3400 Intel Core i3 1115G4 14 Inch HD Display Black Notebook,"৳ 45,500"
"Walton PRELUDE N5001 Intel N5000 1.10GHz Processor Quad Core, 4GB DDR4 RAM-14.0"" - Gray","৳ 25,000"
Hp 14S-Dq2095Tu Intel Core I3 1115G4 14 Inch Fhd Display Laptop,"৳ 54,900"
Lenovo IdeaPad Slim 3i 15ITL Intel Core i5 1135G7 15.6 Inch FHD Antiglare Display Arctic Grey Laptop 82H801C9IN-2Y,"৳ 66,900"
Lenovo Yoga 7 X360 Core i7 11th Gen 14 FHD Touch Laptop,"৳ 110,000"
"Dell Vostro 3500, Intel i3 11th Gen, 4GB Ram, 1TB HDD, 15.6"" FHD Display","৳ 48,900"
MSI Modern 14 B10MW Core i3-10110U 8512GB,"৳ 54,450"
Dell Inspiron 15 3501 Intel Core i3 1115G4 15.6 Inch FHD Display Silver Soft Mint Laptop BULLN315TGL21051021P-2Y,"৳ 47,322"
Dell Inspiron 15 3501 Intel Core i5 1135G7 15.6 FHD Display Laptop - Silver,"৳ 62,300"
"MSI Modern 15 A5M Ryzen 5 5500U Display 15.6"" FHD (1920*1080) DDR IV 8GB RAM 512GB NVMe PCIe Gen3x4 SSD Laptop","৳ 64,900"
Acer aspire 3 A315-23 ryzen 3 3250u 4GB DDR4 RAM 15.6 ''hD ,"৳ 39,800"
"Acer Extensa 15 EX215-52-37YW Core i3 10th Gen 15.6"" FHD-Laptop","৳ 39,800"
MSI Modern 14 B11SB Core i7 11th Gen MX450 2GB Graphics 14 Full HD Laptop,"৳ 108,000"
Asus VivoBook 15 X515EA 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Slate Grey Laptop BQ1097T-X515EA,"৳ 51,480"
"Lenovo IdeaPad Slim 3i Core i3 10th Gen 15.6"" Full HD Platinum Grey Laptop","৳ 45,500"
Acer Aspire 3 A315-58G-54LW Intel Core i5 1135G7 15.6 Inch FHD Pure Silver Laptop NX.ADUSI.003,"৳ 70,950"
